"player_info","rank","bye","owner_2018","fantasy_pts_proj"
"Patrick Mahomes / KC / QB","1","12","TheFlawlessVictories","386"
"Aaron Rodgers / GB / QB","2","11","ChildPlease","317"
"Saquon Barkley / NYG / RB","3","11","mouse rat","307"
"Andrew Luck / Ind / QB","4","6","Grey Nut Grabbers","307"
"Russell Wilson / Sea / QB","5","11","He Hate Me","304"
"Baker Mayfield / Cle / QB","6","7","WU NAME PENDING","303"
"Deshaun Watson / Hou / QB","7","10","The White Walkers","302"
"Cam Newton / Car / QB","8","7","TheFlawlessVictories","298"
"Jared Goff / LAR / QB","9","9","C$","295"
"Drew Brees / NO / QB","10","9","C$","292"
"Carson Wentz / Phi / QB","11","10","mouse rat","282"
"Mitchell Trubisky / Chi / QB","12","6","teddy bear suicide","280"
"Matt Ryan / Atl / QB","13","9","teddy bear suicide","279"
"Kirk Cousins / Min / QB","14","12","FA","276"
"Ezekiel Elliott / Dal / RB","15","8","He Hate Me","275"
"Ben Roethlisberger / Pit / QB","16","7","Hoboken SquatCobbler","275"
"Dak Prescott / Dal / QB","17","8","FA","274"
"Lamar Jackson / Bal / QB","18","8","FA","273"
"Alvin Kamara / NO / RB","19","9","TheFlawlessVictories","265"
"Jameis Winston / TB / QB","20","7","FA","262"
"Philip Rivers / LAC / QB","21","12","mouse rat","259"
"Jimmy Garoppolo / SF / QB","22","4","FA","254"
"Tom Brady / NE / QB","23","10","WU NAME PENDING","252"
"Josh Allen / Buf / QB","24","6","teddy bear suicide","247"
"Todd Gurley II / LAR / RB","25","9","The White Walkers","240"
"Melvin Gordon III / LAC / RB","26","12","He Hate Me","240"
"James Conner / Pit / RB","27","7","Grey Nut Grabbers","237"
"Andy Dalton / Cin / QB","28","9","FA","235"
"Kyler Murray / Ari / QB","29","12","FA","232"
"Le'Veon Bell / NYJ / RB","30","4","WU NAME PENDING","232"
"Christian McCaffrey / Car / RB","31","7","ChildPlease","231"
"Sam Darnold / NYJ / QB","32","4","FA","230"
"Nick Chubb / Cle / RB","33","7","teddy bear suicide","229"
"Derek Carr / Oak / QB","34","6","FA","226"
"Dalvin Cook / Min / RB","35","12","Grey Nut Grabbers","225"
"David Johnson / Ari / RB","36","12","TheFlawlessVictories","225"
"Marcus Mariota / Ten / QB","37","11","FA","222"
"Aaron Jones / GB / RB","38","11","Hoboken SquatCobbler","218"
"Nick Foles / Jax / QB","39","10","FA","213"
"Julio Jones / Atl / WR","40","9","C$","212"
"Joe Mixon / Cin / RB","41","9","Grey Nut Grabbers","212"
"Davante Adams / GB / WR","42","11","He Hate Me","207"
"Marlon Mack / Ind / RB","43","6","WU NAME PENDING","206"
"DeAndre Hopkins / Hou / WR","44","10","The White Walkers","206"
"Damien Williams / KC / RB","45","12","He Hate Me","204"
"JuJu Smith-Schuster / Pit / WR","46","7","teddy bear suicide","203"
"Sony Michel / NE / RB","47","10","C$","203"
"Odell Beckham Jr. / Cle / WR","48","7","TheFlawlessVictories","202"
"Matthew Stafford / Det / QB","49","5","FA","201"
"Tyreek Hill / KC / WR","50","12","TheFlawlessVictories","201"
"Derrick Henry / Ten / RB","51","11","He Hate Me","200"
"Leonard Fournette / Jax / RB","52","10","teddy bear suicide","199"
"Michael Thomas / NO / WR","53","9","Grey Nut Grabbers","196"
"Phillip Lindsay / Den / RB","54","10","WU NAME PENDING","192"
"Kerryon Johnson / Det / RB","55","5","He Hate Me","192"
"Mike Evans / TB / WR","56","7","teddy bear suicide","192"
"Travis Kelce / KC / TE","57","12","teddy bear suicide","190"
"Kenyan Drake / Mia / RB","58","5","Hoboken SquatCobbler","189"
"Jordan Howard / Phi / RB","59","10","ChildPlease","188"
"Devonta Freeman / Atl / RB","60","9","WU NAME PENDING","186"
