"player_info","rank","bye","fantasy_pts_proj","position","rush_td_proj","rush_yds_proj","rush_att_proj","owner_2018"
"Saquon Barkley / NYG / RB","3","11","307","RB","12.0","1375","289","mouse rat"
"Ezekiel Elliott / Dal / RB","15","8","275","RB","11.2","1377","289","He Hate Me"
"Alvin Kamara / NO / RB","19","9","265","RB","11.4","1039","207","TheFlawlessVictories"
"Todd Gurley II / LAR / RB","25","9","240","RB","10.9","1156","239","The White Walkers"
"Melvin Gordon III / LAC / RB","26","12","240","RB","11.4","1090","240","He Hate Me"
"James Conner / Pit / RB","27","7","237","RB","10.4","1262","269","Grey Nut Grabbers"
"Le'Veon Bell / NYJ / RB","30","4","232","RB","8.8","1209","287","WU NAME PENDING"
"Christian McCaffrey / Car / RB","31","7","231","RB","7.9","971","209","ChildPlease"
"Nick Chubb / Cle / RB","33","7","229","RB","11.6","1207","267","teddy bear suicide"
"Dalvin Cook / Min / RB","35","12","225","RB","8.4","1127","240","Grey Nut Grabbers"
"David Johnson / Ari / RB","36","12","225","RB","8.4","1063","256","TheFlawlessVictories"
"Aaron Jones / GB / RB","38","11","218","RB","9.4","1109","239","Hoboken SquatCobbler"
"Joe Mixon / Cin / RB","41","9","212","RB","8.6","1126","257","Grey Nut Grabbers"
"Marlon Mack / Ind / RB","43","6","206","RB","10.8","1149","239","WU NAME PENDING"
"Damien Williams / KC / RB","45","12","204","RB","7.6","1011","207","He Hate Me"
"Sony Michel / NE / RB","47","10","203","RB","10.0","1279","267","C$"
"Derrick Henry / Ten / RB","51","11","200","RB","10.9","1182","256","He Hate Me"
"Leonard Fournette / Jax / RB","52","10","199","RB","7.7","1052","255","teddy bear suicide"
"Phillip Lindsay / Den / RB","54","10","192","RB","8.2","1022","223","WU NAME PENDING"
"Kerryon Johnson / Det / RB","55","5","192","RB","6.3","1078","239","He Hate Me"
"Kenyan Drake / Mia / RB","58","5","189","RB","7.6","881","207","Hoboken SquatCobbler"
"Jordan Howard / Phi / RB","59","10","188","RB","9.5","1071","236","ChildPlease"
"Devonta Freeman / Atl / RB","60","9","186","RB","7.6","925","209","WU NAME PENDING"
"Mark Ingram II / Bal / RB","65","8","172","RB","7.5","1043","240","Hoboken SquatCobbler"
"Tarik Cohen / Chi / RB","74","6","162","RB","3.5","450","96","mouse rat"
"Latavius Murray / NO / RB","75","9","160","RB","6.5","850","191","FA"
"Rashaad Penny / Sea / RB","78","11","157","RB","7.0","866","191","FA"
"Lamar Miller / Hou / RB","79","10","154","RB","6.8","893","208","Hoboken SquatCobbler"
"Jerick McKinnon / SF / RB","81","4","150","RB","6.9","447","107","FA"
"James White / NE / RB","84","10","148","RB","2.2","359","80","teddy bear suicide"
"Tevin Coleman / SF / RB","88","4","146","RB","5.0","758","162","Grey Nut Grabbers"
"Josh Jacobs / Oak / RB","89","6","146","RB","6.4","845","210","FA"
"Mike Davis / Chi / RB","93","6","144","RB","6.1","918","201","FA"
"Nyheim Hines / Ind / RB","94","6","143","RB","3.2","348","79.2","FA"
"Derrius Guice / Was / RB","98","10","142","RB","6.1","884","208","mouse rat"
"Carlos Hyde / KC / RB","125","12","127","RB","5.8","720","160","FA"
"Peyton Barber / TB / RB","127","7","127","RB","6.2","782","191","The White Walkers"
"Dion Lewis / Ten / RB","131","11","125","RB","2.5","615","143","FA"
"Austin Ekeler / LAC / RB","136","12","120","RB","3.1","463","96","C$"
"LeSean McCoy / Buf / RB","143","6","118","RB","3.2","658","160","mouse rat"
"Chris Carson / Sea / RB","145","11","118","RB","4.8","782","177","WU NAME PENDING"
"Jaylen Samuels / Pit / RB","146","7","118","RB","2.2","450","96","He Hate Me"
"David Montgomery / Chi / RB","151","6","116","RB","5.1","841","195","FA"
