"player_info","rank","bye","fantasy_pts_proj","position","rec_td_proj","rec_yds_proj","rec_tgt_proj","owner_2018"
"Travis Kelce / KC / TE","57","12","190","TE","9.5","1308","143","teddy bear suicide"
"George Kittle / SF / TE","76","4","160","TE","6.8","1174","128","mouse rat"
"Zach Ertz / Phi / TE","77","10","160","TE","8.3","1079","143","Grey Nut Grabbers"
"Hunter Henry / LAC / TE","119","12","130","TE","7.2","868","96","FA"
"O.J. Howard / TB / TE","124","7","128","TE","7.2","845","96","FA"
"Vance McDonald / Pit / TE","138","7","120","TE","6.4","817","95.8","C$"
"David Njoku / Cle / TE","148","7","117","TE","6.9","732","95.9","TheFlawlessVictories"
"Evan Engram / NYG / TE","149","11","117","TE","4.8","859","112","WU NAME PENDING"
"Jared Cook / NO / TE","154","9","116","TE","6.0","793","80","TheFlawlessVictories"
"Delanie Walker / Ten / TE","159","11","114","TE","5.8","788","95.6","FA"
"Kyle Rudolph / Min / TE","193","12","99","TE","6.1","621","80","The White Walkers"
"Mark Andrews / Bal / TE","197","8","97","TE","4.8","689","80","FA"
"Trey Burton / Chi / TE","201","6","96","TE","5.7","618","80.3","FA"
"Jimmy Graham / GB / TE","205","11","93","TE","5.0","634","80","mouse rat"
"Greg Olsen / Car / TE","210","7","92","TE","4.9","628","80","FA"
"Jack Doyle / Ind / TE","213","6","91","TE","4.5","642","80","FA"
"Jordan Reed / Was / TE","215","10","91","TE","4.3","654","96.4","FA"
"Austin Hooper / Atl / TE","220","9","88","TE","4.9","583","80.8","ChildPlease"
"Eric Ebron / Ind / TE","225","6","86","TE","6.0","493","65.2","Hoboken SquatCobbler"
"Chris Herndon / NYJ / TE","234","4","81","TE","4.8","525","65","FA"
"C.J. Uzomah / Cin / TE","236","9","80","TE","4.2","542","80","FA"
"Dallas Goedert / Phi / TE","241","10","78","TE","4.3","517","64","FA"
"Matt LaCosse / NE / TE","243","10","76","TE","4.4","498","64","FA"
"Will Dissly / Sea / TE","251","11","74","TE","4.2","481","64","FA"
"Blake Jarwin / Dal / TE","261","8","70","TE","3.3","499","64","FA"
"Noah Fant / Den / TE","264","10","68","TE","3.5","472","64","FA"
"T.J. Hockenson / Det / TE","272","5","65","TE","3.5","443","64","FA"
"Cameron Brate / TB / TE","276","7","64","TE","3.2","442","64","FA"
"Jesse James / Det / TE","277","5","63","TE","3.1","442","64","FA"
"Hayden Hurst / Bal / TE","279","8","62","TE","2.8","450","64","FA"
"Gerald Everett / LAR / TE","284","9","61","TE","4.1","363","48","FA"
"Tyler Eifert / Cin / TE","287","9","58","TE","2.8","412","49.2","FA"
"Jeff Heuerman / Den / TE","288","10","58","TE","2.9","404","64","FA"
"Mike Gesicki / Mia / TE","289","5","57","TE","2.6","415","64","FA"
"Adam Shaheen / Chi / TE","290","6","57","TE","3.3","374","48","FA"
"Jason Witten / Dal / TE","295","8","54","TE","3.4","337","48","FA"
"Vernon Davis / Was / TE","296","10","54","TE","2.1","411","48","FA"
"Charles Clay / Ari / TE","300","12","53","TE","2.1","402","64","FA"
"Darren Waller / Oak / TE","306","6","51","TE","2.1","380","47","FA"
"Jordan Akins / Hou / TE","311","10","48","TE","2.0","361","48","FA"
"Ian Thomas / Car / TE","312","7","48","TE","2.6","320","48","FA"
"Ryan Griffin / NYJ / TE","319","4","45","TE","2.0","330","45","FA"
"Geoff Swaim / Jax / TE","323","10","43","TE","1.9","320","48","FA"
"Tyler Higbee / LAR / TE","326","9","41","TE","2.0","294","32","FA"
"Jonnu Smith / Ten / TE","327","11","41","TE","2.5","259","32","FA"
"Ricky Seals-Jones / Ari / TE","330","12","39","TE","1.9","280","48","FA"
"Jordan Thomas / Hou / TE","335","10","37","TE","2.2","241","32","FA"
"Garrett Celek / SF / TE","338","4","37","TE","2.1","242","32","FA"
"Tyler Kroft / Buf / TE","341","6","36","TE","2.0","233","40","FA"
"Josh Hill / NO / TE","344","9","34","TE","1.3","268","32","FA"
"Dan Arnold / NO / TE","347","9","33","TE","1.3","252","32","FA"
"Nick Vannett / Sea / TE","349","11","32","TE","1.8","216","32","FA"
"Virgil Green / LAC / TE","354","12","32","TE","1.3","236","32","FA"
"Anthony Firkser / Ten / TE","355","11","31","TE","1.2","242","32","FA"
"Dalton Schultz / Dal / TE","358","8","29","TE","1.2","216","32","FA"
"Rhett Ellison / NYG / TE","361","11","28","TE","1.1","215","32","FA"
"Demetrius Harris / Cle / TE","362","7","28","TE","1.0","222","32","FA"
"James O'Shaughnessy / Jax / TE","364","10","27","TE","1.0","213","32","FA"
"Richard Rodgers / Phi / TE","375","10","23","TE","1.9","118","16","FA"
"Nick Boyle / Bal / TE","380","8","21","TE","0","207","32","FA"
"Mo Alie-Cox / Ind / TE","384","6","18","TE","0.8","135","16.6","FA"
"Jace Sternberger / GB / TE","394","11","14","TE","0.7","99.6","12.8","FA"
"Irv Smith Jr. / Min / TE","395","12","13","TE","0.4","109","16.7","FA"
"Drew Sample / Cin / TE","396","9","13","TE","0.4","105","16","FA"
"Dawson Knox / Buf / TE","397","6","13","TE","0.6","93.1","16","FA"
"Jacob Hollister / Sea / TE","400","11","11","TE","0","111","15","FA"
"Josh Oliver / Jax / TE","401","10","10","TE","0","103","17.2","FA"
"Jake Butt / Den / TE","404","10","9","TE","0","85.9","14.4","FA"
"Troy Fumagalli / Den / TE","406","10","8","TE","0","77.5","12.8","FA"
"Foster Moreau / Oak / TE","414","6","4","TE","0.2","27.8","4.8","FA"
"Eric Saubert / NE / TE","416","10","3","TE","0","31.2","4.8","FA"
"Zach Gentry / Pit / TE","419","7","1","TE","0.0","10.0","1.6","FA"
"Brian Parker / Den / TE","425","10","0","TE","0","0","0","FA"
"Logan Paulsen / Atl / TE","427","9","0","TE","0","0","0","FA"
"Lance Kendricks / NE / TE","438","10","0","TE","0","0","0","FA"
"Wes Saxton / Sea / TE","439","11","0","TE","0","0","0","FA"
