"player_info","rank","bye","fantasy_pts_proj","position","rec_td_proj","rec_yds_proj","rec_tgt_proj","owner_2018"
"Julio Jones / Atl / WR","40","9","212","WR","8.1","1578","160","C$"
"Davante Adams / GB / WR","42","11","207","WR","11.2","1380","159","He Hate Me"
"DeAndre Hopkins / Hou / WR","44","10","206","WR","9.8","1460","160","The White Walkers"
"JuJu Smith-Schuster / Pit / WR","46","7","203","WR","8.9","1433","160","teddy bear suicide"
"Odell Beckham Jr. / Cle / WR","48","7","202","WR","9.1","1437","144","TheFlawlessVictories"
"Tyreek Hill / KC / WR","50","12","201","WR","7.9","1308","123","TheFlawlessVictories"
"Michael Thomas / NO / WR","53","9","196","WR","9.6","1386","144","Grey Nut Grabbers"
"Mike Evans / TB / WR","56","7","192","WR","8.7","1377","144","teddy bear suicide"
"Adam Thielen / Min / WR","61","12","182","WR","8.2","1302","144","He Hate Me"
"T.Y. Hilton / Ind / WR","62","6","180","WR","7.8","1334","128","mouse rat"
"Antonio Brown / Oak / WR","63","6","179","WR","8.0","1272","160","C$"
"Robert Woods / LAR / WR","67","9","171","WR","5.6","1209","128","TheFlawlessVictories"
"Amari Cooper / Dal / WR","69","8","169","WR","8.3","1161","128","ChildPlease"
"Keenan Allen / LAC / WR","70","12","168","WR","6.4","1214","144","Hoboken SquatCobbler"
"Mike Williams / LAC / WR","71","12","166","WR","9.6","1031","112","The White Walkers"
"Brandin Cooks / LAR / WR","72","9","162","WR","5.1","1176","112","Hoboken SquatCobbler"
"Stefon Diggs / Min / WR","73","12","162","WR","8.2","1078","144","The White Walkers"
"D.J. Moore / Car / WR","82","7","149","WR","5.0","1001","112","teddy bear suicide"
"Kenny Golladay / Det / WR","83","5","148","WR","6.5","1084","128","He Hate Me"
"Corey Davis / Ten / WR","85","11","148","WR","6.6","1010","127","Grey Nut Grabbers"
"Jarvis Landry / Cle / WR","87","7","147","WR","6.3","1041","143","Grey Nut Grabbers"
"Robby Anderson / NYJ / WR","90","4","145","WR","7.4","1008","112","TheFlawlessVictories"
"Julian Edelman / NE / WR","92","10","144","WR","5.3","1020","129","ChildPlease"
"Tyler Boyd / Cin / WR","95","9","142","WR","6.1","1053","129","TheFlawlessVictories"
"Alshon Jeffery / Phi / WR","97","10","142","WR","7.0","981","111","mouse rat"
"Sterling Shepard / NYG / WR","100","11","141","WR","6.1","977","127","ChildPlease"
"Calvin Ridley / Atl / WR","104","9","138","WR","7.6","883","96.1","mouse rat"
"A.J. Green / Cin / WR","106","9","135","WR","7.1","910","104","Hoboken SquatCobbler"
"Cooper Kupp / LAR / WR","108","9","133","WR","6.8","912","89.6","Hoboken SquatCobbler"
"Marquise Brown / Bal / WR","110","8","133","WR","6.2","937","95","FA"
"Sammy Watkins / KC / WR","113","12","132","WR","5.8","937","91","FA"
"Dede Westbrook / Jax / WR","116","10","130","WR","5.8","833","112","FA"
"Chris Godwin / TB / WR","120","7","129","WR","6.2","920","112","Grey Nut Grabbers"
"Allen Robinson II / Chi / WR","126","6","127","WR","5.8","906","112","WU NAME PENDING"
"Tyler Lockett / Sea / WR","130","11","128","WR","5.4","839","80.3","Hoboken SquatCobbler"
"John Brown / Buf / WR","132","6","125","WR","6.9","832","96","FA"
"Christian Kirk / Ari / WR","135","12","122","WR","5.2","858","112","FA"
"Emmanuel Sanders / Den / WR","139","10","120","WR","4.4","896","110","FA"
"Devin Funchess / Ind / WR","142","6","119","WR","6.4","809","95.9","ChildPlease"
"Mohamed Sanu / Atl / WR","147","9","117","WR","4.8","852","95.7","The White Walkers"
"Tyrell Williams / Oak / WR","150","6","117","WR","5.4","832","96","FA"
"Dante Pettis / SF / WR","153","4","116","WR","5.0","834","96","teddy bear suicide"
"DeSean Jackson / Phi / WR","156","10","116","WR","4.1","873","95.5","FA"
"Marvin Jones Jr. / Det / WR","157","5","115","WR","5.3","830","112","C$"
